"","Global","Central Vein","LSEC_1","LSEC_2","LSEC_3","LSEC_4","LSEC_5"
"Global",1,0.332061324125733,0.859171735431202,0.506291911915089,0.690196014390425,0.386822443707139,-0.0220099090533795
"Central Vein",0.332061324125733,1,0.230133351636071,0.579591085546854,0.074501964773971,0.035484953755521,-0.2059708400686
"LSEC_1",0.859171735431202,0.230133351636071,1,0.415172436276048,0.58453060845675,0.267599518605773,-0.255959730068496
"LSEC_2",0.506291911915089,0.579591085546854,0.415172436276048,1,0.222631659217732,0.172742278646494,-0.218802854364928
"LSEC_3",0.690196014390425,0.074501964773971,0.58453060845675,0.222631659217732,1,0.611628559338701,0.122513633858265
"LSEC_4",0.386822443707139,0.035484953755521,0.267599518605773,0.172742278646494,0.611628559338701,1,0.110861832974955
"LSEC_5",-0.0220099090533795,-0.2059708400686,-0.255959730068496,-0.218802854364928,0.122513633858265,0.110861832974955,1
